S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,03-27-2020,Andaman and Nicobar Islands,1,1,0,0
2,03-28-2020,Andaman and Nicobar Islands,6,6,0,0
3,03-29-2020,Andaman and Nicobar Islands,9,9,0,0
4,03-30-2020,Andaman and Nicobar Islands,9,9,0,0
5,03-31-2020,Andaman and Nicobar Islands,10,10,0,0
6,04-01-2020,Andaman and Nicobar Islands,10,10,0,0
7,04-02-2020,Andaman and Nicobar Islands,10,10,0,0
8,04-03-2020,Andaman and Nicobar Islands,10,10,0,0
9,04-04-2020,Andaman and Nicobar Islands,10,10,0,0
10,04-05-2020,Andaman and Nicobar Islands,10,10,0,0
11,04-06-2020,Andaman and Nicobar Islands,10,10,0,0
12,04-07-2020,Andaman and Nicobar Islands,10,10,0,0
13,04-08-2020,Andaman and Nicobar Islands,10,10,0,0
14,04-09-2020,Andaman and Nicobar Islands,11,11,0,0
15,04-10-2020,Andaman and Nicobar Islands,11,11,0,0
16,04-11-2020,Andaman and Nicobar Islands,11,11,0,0
17,04-12-2020,Andaman and Nicobar Islands,11,1,10,0
18,04-13-2020,Andaman and Nicobar Islands,11,1,10,0
19,04-14-2020,Andaman and Nicobar Islands,11,1,10,0
20,04-15-2020,Andaman and Nicobar Islands,11,1,10,0
21,04-16-2020,Andaman and Nicobar Islands,11,1,10,0
22,04-17-2020,Andaman and Nicobar Islands,11,1,10,0
23,04-18-2020,Andaman and Nicobar Islands,12,1,11,0
24,04-19-2020,Andaman and Nicobar Islands,14,3,11,0
25,04-20-2020,Andaman and Nicobar Islands,15,4,11,0
26,04-21-2020,Andaman and Nicobar Islands,16,5,11,0
27,04-22-2020,Andaman and Nicobar Islands,16,5,11,0
28,04-23-2020,Andaman and Nicobar Islands,18,7,11,0
29,04-24-2020,Andaman and Nicobar Islands,22,11,11,0
30,04-25-2020,Andaman and Nicobar Islands,27,16,11,0
31,04-26-2020,Andaman and Nicobar Islands,33,22,11,0
32,04-27-2020,Andaman and Nicobar Islands,33,22,11,0
33,04-28-2020,Andaman and Nicobar Islands,33,22,11,0
34,04-29-2020,Andaman and Nicobar Islands,33,18,15,0
35,04-30-2020,Andaman and Nicobar Islands,33,18,15,0
36,05-01-2020,Andaman and Nicobar Islands,33,17,16,0
37,05-02-2020,Andaman and Nicobar Islands,33,17,16,0
38,05-03-2020,Andaman and Nicobar Islands,33,17,16,0
39,05-04-2020,Andaman and Nicobar Islands,33,1,32,0
40,05-05-2020,Andaman and Nicobar Islands,33,1,32,0
41,05-06-2020,Andaman and Nicobar Islands,33,1,32,0
42,05-07-2020,Andaman and Nicobar Islands,33,1,32,0
43,05-08-2020,Andaman and Nicobar Islands,33,0,33,0
44,05-09-2020,Andaman and Nicobar Islands,33,0,33,0
45,05-10-2020,Andaman and Nicobar Islands,33,0,33,0
46,05-11-2020,Andaman and Nicobar Islands,33,0,33,0
47,05-12-2020,Andaman and Nicobar Islands,33,0,33,0
48,05-13-2020,Andaman and Nicobar Islands,33,0,33,0
49,05-14-2020,Andaman and Nicobar Islands,33,0,33,0
50,05-15-2020,Andaman and Nicobar Islands,33,0,33,0
51,05-16-2020,Andaman and Nicobar Islands,33,0,33,0
52,05-17-2020,Andaman and Nicobar Islands,33,0,33,0
53,05-18-2020,Andaman and Nicobar Islands,33,0,33,0
54,05-19-2020,Andaman and Nicobar Islands,33,0,33,0
55,05-20-2020,Andaman and Nicobar Islands,33,0,33,0
56,05-21-2020,Andaman and Nicobar Islands,33,0,33,0
57,05-22-2020,Andaman and Nicobar Islands,33,0,33,0
58,05-23-2020,Andaman and Nicobar Islands,33,0,33,0
59,05-24-2020,Andaman and Nicobar Islands,33,0,33,0
60,05-25-2020,Andaman and Nicobar Islands,33,0,33,0
61,05-26-2020,Andaman and Nicobar Islands,33,0,33,0
62,05-27-2020,Andaman and Nicobar Islands,33,0,33,0
63,05-28-2020,Andaman and Nicobar Islands,33,0,33,0
64,05-29-2020,Andaman and Nicobar Islands,33,0,33,0
65,05-30-2020,Andaman and Nicobar Islands,33,0,33,0
66,05-31-2020,Andaman and Nicobar Islands,33,0,33,0
67,06-01-2020,Andaman and Nicobar Islands,33,0,33,0
68,06-02-2020,Andaman and Nicobar Islands,33,0,33,0
69,06-03-2020,Andaman and Nicobar Islands,33,0,33,0
70,06-04-2020,Andaman and Nicobar Islands,33,0,33,0
71,06-05-2020,Andaman and Nicobar Islands,33,0,33,0
72,06-06-2020,Andaman and Nicobar Islands,33,0,33,0
73,06-07-2020,Andaman and Nicobar Islands,33,0,33,0
74,06-08-2020,Andaman and Nicobar Islands,33,0,33,0
75,06-09-2020,Andaman and Nicobar Islands,33,0,33,0
76,06-10-2020,Andaman and Nicobar Islands,33,0,33,0
77,06-11-2020,Andaman and Nicobar Islands,34,1,33,0
78,06-12-2020,Andaman and Nicobar Islands,38,5,33,0
79,06-13-2020,Andaman and Nicobar Islands,38,5,33,0
80,06-14-2020,Andaman and Nicobar Islands,38,5,33,0
81,06-15-2020,Andaman and Nicobar Islands,38,5,33,0
82,06-16-2020,Andaman and Nicobar Islands,41,8,33,0
83,06-17-2020,Andaman and Nicobar Islands,44,11,33,0
84,06-18-2020,Andaman and Nicobar Islands,44,11,33,0
85,06-19-2020,Andaman and Nicobar Islands,44,11,33,0
86,06-20-2020,Andaman and Nicobar Islands,45,10,35,0
87,06-21-2020,Andaman and Nicobar Islands,47,11,36,0
88,06-22-2020,Andaman and Nicobar Islands,48,11,37,0
89,06-23-2020,Andaman and Nicobar Islands,48,11,37,0
90,06-24-2020,Andaman and Nicobar Islands,50,10,40,0
91,06-25-2020,Andaman and Nicobar Islands,56,13,43,0
92,06-26-2020,Andaman and Nicobar Islands,59,16,43,0
93,06-27-2020,Andaman and Nicobar Islands,72,29,43,0
94,06-28-2020,Andaman and Nicobar Islands,72,29,43,0
95,06-29-2020,Andaman and Nicobar Islands,76,31,45,0
96,06-30-2020,Andaman and Nicobar Islands,90,44,46,0
97,07-01-2020,Andaman and Nicobar Islands,97,47,50,0
98,07-02-2020,Andaman and Nicobar Islands,100,50,50,0
99,07-03-2020,Andaman and Nicobar Islands,109,58,51,0
100,07-04-2020,Andaman and Nicobar Islands,116,62,54,0
101,07-05-2020,Andaman and Nicobar Islands,119,53,66,0
102,07-06-2020,Andaman and Nicobar Islands,125,53,72,0
103,07-07-2020,Andaman and Nicobar Islands,141,67,74,0
104,07-08-2020,Andaman and Nicobar Islands,147,72,75,0
105,07-09-2020,Andaman and Nicobar Islands,149,72,77,0
106,07-10-2020,Andaman and Nicobar Islands,151,68,83,0
107,07-11-2020,Andaman and Nicobar Islands,156,64,92,0
108,07-12-2020,Andaman and Nicobar Islands,163,70,93,0
109,07-13-2020,Andaman and Nicobar Islands,163,70,93,0
110,07-14-2020,Andaman and Nicobar Islands,166,57,109,0
